pf,0F,po,so,flds,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,grp1,grp2,grp3,tested_f,modif_f,def_f,undef_f,f_values,description
,,C1,,W,7,,,,,,SAR,Evqp,Ib,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a..,,Shift
,,C2,,,,,,,,,RETN,Iw,,,,,gen,branch stack,,,,,,,Return from procedure
,,C3,,,,,,,,,RETN,,,,,,gen,branch stack,,,,,,,Return from procedure
,,C4,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,C5,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,C6,,w,0,,,,,,MOV,Eb,Ib,,,,gen,datamov,,,,,,,Move
,,C7,,W,0,,,,,,MOV,Evqp,Ivds,,,,gen,datamov,,,,,,,Move
,,C8,,,,,,E,,,ENTER,rBP,Iw,Ib,,,gen,stack,,,,,,,Make Stack Frame for Procedure Parameters
,,C9,,,,,,E,,,LEAVE,rBP,,,,,gen,stack,,,,,,,High Level Procedure Exit
,,CA,,,,,,,f,,RETF,Iw,,,,,gen,branch stack,,,,,,,Return from procedure
,,CB,,,,,,,f,,RETF,,,,,,gen,branch stack,,,,,,,Return from procedure
,,CC,,,,,,,f,,INT?alias,3,Fv,,,,gen,break stack,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,CD,,,,,,,f,,INT,Ib,Fv,,,,gen,break stack,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,CE,,,,,,,f,,INTO,Fv,,,,,gen,break stack,,o.......,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,CF,,,,,,E,f,,IRET,Fwo,,,,,gen,break stack,,,,,,,Interrupt Return
,,,,,,,,,,,IRETD,Fdo,,,,,,,,,,,,,
,,,,,,,,,,,IRETQ,Fqp,,,,,,,,,,,,,
,,D0,,w,0,,,,,,ROL,Eb,1,,,,gen,shftrot,,,o..szapc,o..szapc,,,Rotate
,,D0,,w,1,,,,,,ROR,Eb,1,,,,gen,shftrot,,,o..szapc,o..szapc,,,Rotate
,,D0,,w,2,,,,,,RCL,Eb,1,,,,gen,shftrot,,.......c,o..szapc,o..szapc,,,Rotate
,,D0,,w,3,,,,,,RCR,Eb,1,,,,gen,shftrot,,.......c,o..szapc,o..szapc,,,Rotate
,,D0,,w,4,,,,,,SHL,Eb,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,,SAL,Eb,1,,,,,,,,,,,,
,,D0,,w,5,,,,,,SHR,Eb,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D0,,w,6,,U3,,,,SAL?alias,Eb,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,,SHL?alias,Eb,1,,,,,,,,,,,,
,,D0,,w,7,,,,,,SAR,Eb,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D1,,W,0,,,,,,ROL,Evqp,1,,,,gen,shftrot,,,o..szapc,o..szapc,,,Rotate
,,D1,,W,1,,,,,,ROR,Evqp,1,,,,gen,shftrot,,,o..szapc,o..szapc,,,Rotate
,,D1,,W,2,,,,,,RCL,Evqp,1,,,,gen,shftrot,,.......c,o..szapc,o..szapc,,,Rotate
,,D1,,W,3,,,,,,RCR,Evqp,1,,,,gen,shftrot,,.......c,o..szapc,o..szapc,,,Rotate
,,D1,,W,4,,,,,,SHL,Evqp,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,,SAL,Evqp,1,,,,,,,,,,,,
,,D1,,W,5,,,,,,SHR,Evqp,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D1,,W,6,,U3,,,,SAL?alias,Evqp,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,,,,,,,,,,SHL?alias,Evqp,1,,,,,,,,,,,,
,,D1,,W,7,,,,,,SAR,Evqp,1,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D2,,w,0,,,,,,ROL,Eb,CL,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,D2,,w,1,,,,,,ROR,Eb,CL,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,D2,,w,2,,,,,,RCL,Eb,CL,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D2,,w,3,,,,,,RCR,Eb,CL,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D2,,w,4,,,,,,SHL,Eb,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SAL,Eb,CL,,,,,,,,,,,,
,,D2,,w,5,,,,,,SHR,Eb,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,D2,,w,6,,U3,,,,SAL?alias,Eb,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SHL?alias,Eb,CL,,,,,,,,,,,,
,,D2,,w,7,,,,,,SAR,Eb,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a..,,Shift
,,D3,,W,0,,,,,,ROL,Evqp,CL,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,D3,,W,1,,,,,,ROR,Evqp,CL,,,,gen,shftrot,,,o..szapc,o..szapc,o.......,,Rotate
,,D3,,W,2,,,,,,RCL,Evqp,CL,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D3,,W,3,,,,,,RCR,Evqp,CL,,,,gen,shftrot,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D3,,W,4,,,,,,SHL,Evqp,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SAL,Evqp,CL,,,,,,,,,,,,
,,D3,,W,5,,,,,,SHR,Evqp,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,D3,,W,6,,U3,,,,SAL?alias,Evqp,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,,SHL?alias,Evqp,CL,,,,,,,,,,,,
,,D3,,W,7,,,,,,SAR,Evqp,CL,,,,gen,shftrot,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D4,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,D5,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,D6,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,D7,,,,,,,,,XLAT,AL,BBb,,,,gen,datamov,,,,,,,Table Look-up Translation
,,,,,,,,,,,XLATB,AL,BBb,,,,,,,,,,,,
,,D8,,mf,0,,,,,,FADD,ST,Msr,,,,x87fpu,arith,,,123,.1..,0.23,,Add
,,,,,,,,,,,FADD,ST,EST,,,,,,,,,,,,
,,D8,,mf,1,,,,,,FMUL,ST,Msr,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply
,,,,,,,,,,,FMUL,ST,EST,,,,,,,,,,,,
,,D8,,mf,2,,,,,,FCOM,ST,ESsr,,,,x87fpu,compar,,,123,123,,,Compare Real
,,D8,D1,,2,,,,,,FCOM,ST,ST1,,,,x87fpu,compar,,,123,123,,,Compare Real
,,D8,,mf,3,,,,,p,FCOMP,ST,ESsr,,,,x87fpu,compar,,,123,123,,,Compare Real and Pop
,,D8,D9,,3,,,,,p,FCOMP,ST,ST1,,,,x87fpu,compar,,,123,123,,,Compare Real and Pop
,,D8,,mf,4,,,,,,FSUB,ST,Msr,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract
,,,,,,,,,,,FSUB,ST,EST,,,,,,,,,,,,
,,D8,,mf,5,,,,,,FSUBR,ST,Msr,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract
,,,,,,,,,,,FSUBR,ST,EST,,,,,,,,,,,,
,,D8,,mf,6,,,,,,FDIV,ST,Msr,,,,x87fpu,arith,,,123,.1..,0.23,,Divide
,,,,,,,,,,,FDIV,ST,EST,,,,,,,,,,,,
,,D8,,mf,7,,,,,,FDIVR,ST,Msr,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide
,,,,,,,,,,,FDIVR,ST,EST,,,,,,,,,,,,
,,D9,,mf,0,,,,,s,FLD,ST,ESsr,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Floating Point Value
,,D9,,mf,1,,,,,,FXCH,ST,EST,,,,x87fpu,datamov,,,123,.1..,0.23,,Exchange Register Contents
,,D9,C9,,1,,,,,,FXCH,ST,ST1,,,,x87fpu,datamov,,,123,.1..,0.23,,Exchange Register Contents
,,D9,,mf,2,,,,,,FST,Msr,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value
,,D9,D0,,2,,,,,,FNOP,,,,,,x87fpu,control,,,123,,123,,No Operation
,,D9,,mf,3,,,,,p,FSTP,Msr,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,D9,,,3,,U9,,,p,FSTP1?part alias5,EST,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,D9,,,4,,,,,,FLDENV,Me,,,,,x87fpu,control,,,123,123,,,Load x87 FPU Environment
,,D9,E0,,4,,,,,,FCHS,ST,,,,,x87fpu,arith,,,123,.1..,0.23,,Change Sign
,,D9,E1,,4,,,,,,FABS,ST,,,,,x87fpu,arith,,,123,.1..,0.23,,Absolute Value
,,D9,E4,,4,,,,,,FTST,ST,,,,,x87fpu,compar,,,123,123,,,Test
,,D9,E5,,4,,,,,,FXAM,ST,,,,,x87fpu,,,,123,123,,,Examine
,,D9,,,5,,,,,,FLDCW,Mw,,,,,x87fpu,control,,,123,,123,,Load x87 FPU Control Word
,,D9,E8,,5,,,,,s,FLD1,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant +1.0
,,D9,E9,,5,,,,,s,FLDL2T,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant log210
,,D9,EA,,5,,,,,s,FLDL2E,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant log2e
,,D9,EB,,5,,,,,s,FLDPI,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant ¦Ð
,,D9,EC,,5,,,,,s,FLDLG2,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant log102
,,D9,ED,,5,,,,,s,FLDLN2,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant loge2
,,D9,EE,,5,,,,,s,FLDZ,ST,,,,,x87fpu,ldconst,,,123,.1..,0.23,,Load Constant +0.0
,,D9,,,6,,,,,,FNSTENV,Me,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Environment
9B,,D9,,,6,,,,,,FSTENV,Me,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Environment
,,D9,F0,,6,,,,,,F2XM1,ST,,,,,x87fpu,trans,,,123,.1..,0.23,,Compute 2x-1
,,D9,F1,,6,,,,,p,FYL2X,ST1,ST,,,,x87fpu,trans,,,123,.1..,0.23,,Compute y ¡Á log2x and Pop
,,D9,F2,,6,,,,,s,FPTAN,ST,,,,,x87fpu,trans,,,123,.12.,0..3,,Partial Tangent
,,D9,F3,,6,,,,,p,FPATAN,ST1,ST,,,,x87fpu,trans,,,123,.1..,0.23,,Partial Arctangent and Pop
,,D9,F4,,6,,,,,s,FXTRACT,ST,,,,,x87fpu,arith,,,123,.1..,0.23,,Extract Exponent and Significand
,,D9,F5,,6,,,,,,FPREM1,ST,ST1,,,,x87fpu,arith,,,123,123,,,IEEE Partial Remainder
,,D9,F6,,6,,,,,,FDECSTP,,,,,,x87fpu,control,,,123,.1..,0.23,.0..,Decrement Stack-Top Pointer
,,D9,F7,,6,,,,,,FINCSTP,,,,,,x87fpu,control,,,123,.1..,0.23,.0..,Increment Stack-Top Pointer
,,D9,,,7,,,,,,FNSTCW,Mw,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Control Word
9B,,D9,,,7,,,,,,FSTCW,Mw,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Control Word
,,D9,F8,,7,,,,,,FPREM,ST,ST1,,,,x87fpu,arith,,,123,123,,,Partial Remainder (for compatibility with i8087 and i287)
,,D9,F9,,7,,,,,p,FYL2XP1,ST1,ST,,,,x87fpu,trans,,,123,.1..,0.23,,Compute y ¡Á log2(x+1) and Pop
,,D9,FA,,7,,,,,,FSQRT,ST,,,,,x87fpu,arith,,,123,.1..,0.23,,Square Root
,,D9,FB,,7,,,,,s,FSINCOS,ST,,,,,x87fpu,trans,,,123,.12.,0..3,,Sine and Cosine
,,D9,FC,,7,,,,,,FRNDINT,ST,,,,,x87fpu,arith,,,123,.1..,0.23,,Round to Integer
,,D9,FD,,7,,,,,,FSCALE,ST,ST1,,,,x87fpu,arith,,,123,.1..,0.23,,Scale
,,D9,FE,,7,,,,,,FSIN,ST,,,,,x87fpu,trans,,,123,.12.,0..3,,Sine
,,D9,FF,,7,,,,,,FCOS,ST,,,,,x87fpu,trans,,,123,.12.,0..3,,Cosine
,,DA,,mF,0,,,,,,FIADD,ST,Mdi,,,,x87fpu,arith,,,123,.1..,0.23,,Add
,,DA,,,0,,,,,,FCMOVB,ST,EST,,,,x87fpu,datamov,,.......c,123,.1..,0.23,,FP Conditional Move - below (CF=1)
,,DA,,mF,1,,,,,,FIMUL,ST,Mdi,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply
,,DA,,,1,,,,,,FCMOVE,ST,EST,,,,x87fpu,datamov,,....z...,123,.1..,0.23,,FP Conditional Move - equal (ZF=1)
,,DA,,mF,2,,,,,,FICOM,ST,Mdi,,,,x87fpu,compar,,,123,123,,,Compare Integer
,,DA,,,2,,,,,,FCMOVBE,ST,EST,,,,x87fpu,datamov,,....z...,123,.1..,0.23,,FP Conditional Move - below or equal (CF=1 or ZF=1)
,,DA,,mF,3,,,,,p,FICOMP,ST,Mdi,,,,x87fpu,compar,,,123,123,,,Compare Integer and Pop
,,DA,,,3,,,,,,FCMOVU,ST,EST,,,,x87fpu,datamov,,......p.,123,.1..,0.23,,FP Conditional Move - unordered (PF=1)
,,DA,,mF,4,,,,,,FISUB,ST,Mdi,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract
,,DA,,mF,5,,,,,,FISUBR,ST,Mdi,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract
,,DA,E9,,5,,,,,P,FUCOMPP,ST,ST1,,,,x87fpu,compar,,,123,123,,,Unordered Compare Floating Point Values and Pop Twice
,,DA,,mF,6,,,,,,FIDIV,ST,Mdi,,,,x87fpu,arith,,,123,.1..,0.23,,Divide
,,DA,,mF,7,,,,,,FIDIVR,ST,Mdi,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide
,,DB,,mF,0,,,,,s,FILD,ST,Mdi,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Integer
,,DB,,,0,,,,,,FCMOVNB,ST,EST,,,,x87fpu,datamov,,.......c,123,.1..,0.23,,FP Conditional Move - not below (CF=0)
,,DB,,mF,1,,,,,p,FISTTP,Mdi,ST,,,sse3,x87fpu,conver,,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
,,DB,,,1,,,,,,FCMOVNE,ST,EST,,,,x87fpu,datamov,,....z...,123,.1..,0.23,,FP Conditional Move - not equal (ZF=0)
,,DB,,mF,2,,,,,,FIST,Mdi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer
,,DB,,,2,,,,,,FCMOVNBE,ST,EST,,,,x87fpu,datamov,,....z...,123,.1..,0.23,,FP Conditional Move - below or equal (CF=0 and ZF=0)
,,DB,,mF,3,,,,,p,FISTP,Mdi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer and Pop
,,DB,,,3,,,,,,FCMOVNU,ST,EST,,,,x87fpu,datamov,,......p.,123,.1..,0.23,,FP Conditional Move - not unordered (PF=0)
,,DB,E0,,4,,D6,,,,FNENI?nop,,,,,,obsol,control,,,,,,,Treated as Integer NOP
,,DB,E1,,4,,D6,,,,FNDISI?nop,,,,,,obsol,control,,,,,,,Treated as Integer NOP
,,DB,E2,,4,,,,,,FNCLEX,,,,,,x87fpu,control,,,123,,123,,Clear Exceptions
9B,,DB,E2,,4,,,,,,FCLEX,,,,,,x87fpu,control,,,123,,123,,Clear Exceptions
,,DB,E3,,4,,,,,,FNINIT,,,,,,x87fpu,control,,,123,,,0,Initialize Floating-Point Unit
9B,,DB,E3,,4,,,,,,FINIT,,,,,,x87fpu,control,,,123,,,0,Initialize Floating-Point Unit
,,DB,E4,,4,,D7,,,,FNSETPM?nop,,,,,,obsol,control,,,,,,,Treated as Integer NOP
,,DB,,,5,,,,,s,FLD,ST,Mer,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Floating Point Value
,,DB,,,5,,,,,,FUCOMI,ST,EST,,,,x87fpu,compar,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS
,,DB,,,6,,,,,,FCOMI,ST,EST,,,,x87fpu,compar,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS
,,DB,,,7,,,,,p,FSTP,Mer,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DC,,Mf,0,,,,,,FADD,ST,Mdr,,,,x87fpu,arith,,,123,.1..,0.23,,Add
,,DC,,,0,,,,,,FADD,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Add
,,DC,,Mf,1,,,,,,FMUL,ST,Mdr,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply
,,DC,,,1,,,,,,FMUL,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply
,,DC,,Mf,2,,,,,,FCOM,ST,Mdr,,,,x87fpu,compar,,,123,123,,,Compare Real
,,DC,,,2,,U9,,,,FCOM2?alias,ST,EST,,,,x87fpu,compar,,,123,123,,,Compare Real
,,DC,,Mf,3,,,,,p,FCOMP,ST,Mdr,,,,x87fpu,compar,,,123,123,,,Compare Real and Pop
,,DC,,,3,,U9,,,p,FCOMP3?alias,ST,EST,,,,x87fpu,compar,,,123,123,,,Compare Real and Pop
,,DC,,Mf,4,,,,,,FSUB,ST,Mdr,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract
,,DC,,,4,,,,,,FSUBR,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract
,,DC,,Mf,5,,,,,,FSUBR,ST,Mdr,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract
,,DC,,,5,,,,,,FSUB,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract
,,DC,,Mf,6,,,,,,FDIV,ST,Mdr,,,,x87fpu,arith,,,123,.1..,0.23,,Divide
,,DC,,,6,,,,,,FDIVR,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide
,,DC,,Mf,7,,,,,,FDIVR,ST,Mdr,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide
,,DC,,,7,,,,,,FDIV,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Divide and Pop
,,DD,,Mf,0,,,,,s,FLD,ST,Mdr,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Floating Point Value
,,DD,,,0,,,,,,FFREE,EST,,,,,x87fpu,control,,,123,,123,,Free Floating-Point Register
,,DD,,,1,,,,,p,FISTTP,Mqi,ST,,,sse3,x87fpu,conver,,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
,,DD,,,1,,U9,,,,FXCH4?alias,ST,EST,,,,x87fpu,datamov,,,123,.1..,0.23,,Exchange Register Contents
,,DD,,Mf,2,,,,,,FST,Mdr,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value
,,DD,,,2,,,,,,FST,ST,EST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value
,,DD,,Mf,3,,,,,p,FSTP,Mdr,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DD,,,3,,,,,p,FSTP,ST,EST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DD,,,4,,,,,,FRSTOR,ST,ST1,ST2,...,,x87fpu,control,,,123,123,,,Restore x87 FPU State
,,DD,,,4,,,,,,FUCOM,ST,EST,,,,x87fpu,compar,,,123,123,,,Unordered Compare Floating Point Values
,,DD,E1,,4,,,,,,FUCOM,ST,ST1,,,,x87fpu,compar,,,123,123,,,Unordered Compare Floating Point Values
,,DD,,,5,,,,,p,FUCOMP,ST,EST,,,,x87fpu,compar,,,123,123,,,Unordered Compare Floating Point Values and Pop
,,DD,E9,,5,,,,,p,FUCOMP,ST,ST1,,,,x87fpu,compar,,,123,123,,,Unordered Compare Floating Point Values and Pop
,,DD,,,6,,,,,,FNSAVE,Mst,ST,ST1,...,,x87fpu,control,,,123,123,,0,Store x87 FPU State
9B,,DD,,,6,,,,,,FSAVE,Mst,ST,ST1,...,,x87fpu,control,,,123,123,,0,Store x87 FPU State
,,DD,,,7,,,,,,FNSTSW,Mw,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Status Word
9B,,DD,,,7,,,,,,FSTSW,Mw,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Status Word
,,DE,,MF,0,,,,,,FIADD,ST,Mwi,,,,x87fpu,arith,,,123,.1..,0.23,,Add
,,DE,,,0,,,,,p,FADDP,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Add and Pop
,,DE,C1,,0,,,,,p,FADDP,ST1,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Add and Pop
,,DE,,MF,1,,,,,,FIMUL,ST,Mwi,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply
,,DE,,,1,,,,,p,FMULP,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply and Pop
,,DE,C9,,1,,,,,p,FMULP,ST1,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Multiply and Pop
,,DE,,MF,2,,,,,,FICOM,ST,Mwi,,,,x87fpu,compar,,,123,123,,,Compare Integer
,,DE,,,2,,U9,,,p,FCOMP5?alias,ST,EST,,,,x87fpu,compar,,,123,123,,,Compare Real and Pop
,,DE,,MF,3,,,,,p,FICOMP,ST,Mwi,,,,x87fpu,compar,,,123,123,,,Compare Integer and Pop
,,DE,D9,,3,,,,,P,FCOMPP,ST,ST1,,,,x87fpu,compar,,,123,123,,,Compare Real and Pop Twice
,,DE,,MF,4,,,,,,FISUB,ST,Mwi,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract
,,DE,,,4,,,,,p,FSUBRP,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract and Pop
,,DE,E1,,4,,,,,p,FSUBRP,ST1,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract and Pop
,,DE,,MF,5,,,,,,FISUBR,ST,Mwi,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Subtract
,,DE,,,5,,,,,p,FSUBP,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract and Pop
,,DE,E9,,5,,,,,p,FSUBP,ST1,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Subtract and Pop
,,DE,,MF,6,,,,,,FIDIV,ST,Mwi,,,,x87fpu,arith,,,123,.1..,0.23,,Divide
,,DE,,,6,,,,,p,FDIVRP,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide and Pop
,,DE,F1,,6,,,,,p,FDIVRP,ST1,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide and Pop
,,DE,,MF,7,,,,,,FIDIVR,ST,Mwi,,,,x87fpu,arith,,,123,.1..,0.23,,Reverse Divide
,,DE,,,7,,,,,p,FDIVP,EST,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Divide and Pop
,,DE,F9,,7,,,,,p,FDIVP,ST1,ST,,,,x87fpu,arith,,,123,.1..,0.23,,Divide and Pop
,,DF,,MF,0,,,,,s,FILD,ST,Mwi,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Integer
,,DF,,,0,,D8,,,p,FFREEP,EST,,,,,x87fpu,control,,,123,,123,,Free Floating-Point Register and Pop
,,DF,,MF,1,,,,,p,FISTTP,Mwi,ST,,,sse3,x87fpu,conver,,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
,,DF,,,1,,U9,,,,FXCH7?alias,ST,EST,,,,x87fpu,datamov,,,123,.1..,0.23,,Exchange Register Contents
,,DF,,MF,2,,,,,,FIST,Mwi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer
,,DF,,,2,,U9,,,p,FSTP8?alias,EST,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DF,,MF,3,,,,,p,FISTP,Mwi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer and Pop
,,DF,,,3,,U9,,,p,FSTP9?alias,EST,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DF,,,4,,,,,s,FBLD,ST,Mbcd,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Binary Coded Decimal
,,DF,E0,,4,,,,,,FNSTSW,AX,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Status Word
9B,,DF,E0,,4,,,,,,FSTSW,AX,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Status Word
,,DF,,,5,,,,,s,FILD,ST,Mqi,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Integer
,,DF,,,5,,,,,p,FUCOMIP,ST,EST,,,,x87fpu,compar,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS and Pop
,,DF,,,6,,,,,p,FBSTP,Mbcd,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store BCD Integer and Pop
,,DF,,,6,,,,,p,FCOMIP,ST,EST,,,,x87fpu,compar,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS and Pop
,,DF,,,7,,,,,p,FISTP,Mqi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer and Pop
,,E0,,,,,D32,E,,,LOOPNZ,rCX,Jbs,,,,gen,branch,cond,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=0
,,,,,,,,,,,LOOPNE,rCX,Jbs,,,,,,,,,,,,
,,E1,,,,,D32,E,,,LOOPZ,rCX,Jbs,,,,gen,branch,cond,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=1
,,,,,,,,,,,LOOPE,rCX,Jbs,,,,,,,,,,,,
,,E2,,,,,D32,E,,,LOOP,rCX,Jbs,,,,gen,branch,cond,,,,,,Decrement count; Jump short if count!=0
,,E3,,,,,D32,E,,,JECXZ,Jbs,ECX,,,,gen,branch,cond,,,,,,Jump short if rCX register is 0
,,,,,,,,,,,JRCXZ,Jbs,RCX,,,,,,,,,,,,
,,E4,,w,,,,,f1,,IN,AL,Ib,,,,gen,inout,,,,,,,Input from Port
,,E5,,W,,,,,f1,,IN,eAX,Ib,,,,gen,inout,,,,,,,Input from Port
,,E6,,w,,,,,f1,,OUT,Ib,AL,,,,gen,inout,,,,,,,Output to Port
,,E7,,W,,,,,f1,,OUT,Ib,eAX,,,,gen,inout,,,,,,,Output to Port
,,E8,,,,,D32,,,,CALL,Jvds,,,,,gen,branch stack,,,,,,,Call Procedure
